"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","51.975.000","4,03","+2,03%"
"COGN3","Cogna","38.442.000","1,57","-0,63%"
"BBDC4","Banco Bradesco","27.357.300","12,35","-1,59%"
"LREN3","Lojas Renner","25.935.300","13,18","+2,41%"
"ITSA4","Itaúsa","25.742.000","10,16","-0,88%"
"AMER3","Americanas","23.236.800","0,76","+0,00%"
"ABEV3","Ambev","21.573.500","11,85","+0,51%"
"AZUL4","Azul","20.651.700","7,72","-1,28%"
"ASAI3","Assaí","20.176.300","9,90","-1,00%"
"ITUB4","Itaú Unibanco","19.797.200","33,99","-0,44%"
"PETR4","Petrobras","19.503.200","37,68","-0,13%"
"VALE3","Vale","17.843.400","60,57","-0,05%"
"B3SA3","B3","16.602.000","10,90","-1,18%"
"MGLU3","Magazine Luiza","14.313.300","11,60","-0,60%"
"JFEN3","João Fortes","13.851.500","0,37","-13,95%"
"GGBR4","Gerdau","13.579.500","18,32","+2,06%"
"CRFB3","Carrefour Brasil","13.093.200","9,31","-2,92%"
"CIEL3","Cielo","12.971.700","5,75","+0,00%"
"BBAS3","Banco do Brasil","11.879.700","26,89","+0,07%"
"RAIZ4","Raízen","11.719.600","3,07","+1,32%"
"USIM5","Usiminas","11.194.000","8,28","+2,10%"
"RADL3","RaiaDrogasil","10.261.000","26,05","-0,46%"
"RENT3","Localiza","9.901.600","43,06","-0,55%"
"CVCB3","CVC","9.507.800","1,82","+1,11%"
"TIMS3","TIM","8.862.500","16,39","-1,27%"
"MRVE3","MRV","8.769.400","6,62","+0,30%"
"CMIG4","CEMIG","8.321.000","10,63","-0,09%"
"LWSA3","Locaweb","8.151.500","4,45","+3,01%"
"AMBP3","Ambipar","8.039.100","35,31","+0,91%"
"CPLE6","Copel","8.001.300","10,02","-0,69%"
"CBAV3","CBA","7.852.100","5,54","+6,13%"
"ENEV3","Eneva","7.379.600","12,74","+1,03%"
"CCRO3","Grupo CCR","7.367.400","12,33","+0,16%"
"PCAR3","Grupo Pão de Açúcar","7.267.000","2,83","-1,05%"
"RRRP3","3R Petroleum","7.039.000","25,92","-1,56%"
"SUZB3","Suzano","6.963.000","52,47","-1,06%"
"RAIL3","Rumo","6.940.800","22,25","+0,68%"
"PETR3","Petrobras","6.902.300","40,73","-0,42%"
"PRIO3","PetroRio","6.850.300","45,82","-0,39%"
"ELET3","Eletrobras","6.805.500","37,62","+0,86%"
"SBSP3","Sabesp","6.647.300","86,72","-2,78%"
"CMIN3","CSN Mineração","6.417.400","5,02","+0,00%"
"BBDC3","Banco Bradesco","6.391.900","11,23","-1,23%"
"CSAN3","Cosan","6.015.100","13,55","-0,15%"
"WEGE3","WEG","5.986.400","45,95","-1,50%"
"GOAU4","Metalúrgica Gerdau","5.978.800","10,66","+1,81%"
"VBBR3","Vibra Energia","5.949.800","22,74","-0,39%"
"VAMO3","Grupo Vamos","5.915.000","8,69","-3,55%"
"CYRE3","Cyrela","5.508.900","19,57","-1,11%"
